Steven A. Pritz et al v. E. Jay Gotfredson et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2025cv06016/977406/74/	June 26, 2026	2:2025cv06016
Lauren Nicole Waite v. Walmart, Inc. et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2026cv01460/1006443/16/	June 26, 2026	2:2026cv01460
Liang Chong Fay v. Warden et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/5:2026cv00961/1009029/34/	June 25, 2026	5:2026cv00961
Maria Fernanda Gomez Fuentes v. Markwayne Mullin et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/5:2026cv01651/1014046/17/	June 25, 2026	5:2026cv01651
Cielo Arevalo v. Walmart Inc. et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2026cv02432/1009781/12/	June 25, 2026	2:2026cv02432
Maria Fernanda Gomez Fuentes v. Markwayne Mullin et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/5:2026cv01651/1014046/18/	June 25, 2026	5:2026cv01651
Estate of Gilbert Dominguez v. Estes Express Lines, Inc. et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2025cv10514/993830/36/	June 24, 2026	2:2025cv10514
Sem Roman Morones v. Warden, Adelanto ICE Processing Center et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/5:2026cv02907/1022330/14/	June 24, 2026	5:2026cv02907
Edda Deras v. Frank Bisignano	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2025cv06976/981169/18/	June 24, 2026	2:2025cv06976
United States of America v. Edwin Pascual Sanabria De La Torre	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2026cv00400/1003475/29/	June 23, 2026	2:2026cv00400
Randy Flores v. Ford Motor Company et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2026cv03522/1013742/26/	June 23, 2026	2:2026cv03522
Sokolskyfilm, Inc. v. Lauren Messiah Inc. et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2025cv07884/983973/73/	June 23, 2026	2:2025cv07884
Adam Vargas v. Northrop Grumman Systems Corporation et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2026cv01879/1007804/30/	June 23, 2026	2:2026cv01879
Humberto Exael Mendez Chavez v. Adelanto ICE Processing Center Warden	https://law.justia.com/cases/federal/district-courts/california/cacdce/5:2025cv03481/1000364/16/	June 23, 2026	5:2025cv03481
Donald Lyons et al v. McLane Foodservice, Inc. et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2026cv05040/1019462/19/	June 22, 2026	2:2026cv05040
Chao Chen v. Fereti Semaia et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/5:2026cv02618/1020456/12/	June 22, 2026	5:2026cv02618
Rodolfo William Munoz v. Subcontracting Concepts CT LLC et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2025cv07887/983984/19/	June 22, 2026	2:2025cv07887
Davran Ibragimov et al v. Ernesto Santacruz, Jr. et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/5:2026cv01116/1010164/22/	June 22, 2026	5:2026cv01116
Chiddy Golden v. Transunion, LLC et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2025cv11740/998962/210/	June 18, 2026	2:2025cv11740
Diana Elizabeth Malespin Montalvan v. Fereti Semaia et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/5:2026cv03177/1024016/11/	June 17, 2026	5:2026cv03177
Oscar Aleman v. Frank Bisignano	https://law.justia.com/cases/federal/district-courts/california/cacdce/5:2025cv03004/994845/19/	June 17, 2026	5:2025cv03004
Oscar Aleman v. Frank Bisignano	https://law.justia.com/cases/federal/district-courts/california/cacdce/5:2025cv03004/994845/18/	June 17, 2026	5:2025cv03004
Olga Anoshechkina v. Nuloom LLC et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2026cv01507/1006579/31/	June 16, 2026	2:2026cv01507
Quang Vinh Huynh v. D. Marin et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/5:2026cv02405/1018986/20/	June 16, 2026	5:2026cv02405
Zaira V. Alvarez-Guatibonza v. Adelanto ICE Process Ctr et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/5:2026cv02157/1017349/15/	June 15, 2026	5:2026cv02157
Alexander Gudiel Ipina Morales v. Secretary of Homeland Security et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/5:2026cv01960/1016323/18/	June 12, 2026	5:2026cv01960
Vardges Nikoghosyan v. Todd Lyons et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2026cv05572/1021599/12/	June 12, 2026	2:2026cv05572
Evelyn Villareal Gonzalez v. Nissan North America, Inc. et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/8:2026cv00538/1010002/16/	June 12, 2026	8:2026cv00538
Julio Alberto Melendrez Ortega v. Acting Warden FCI-Termainal Island	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2026cv00623/1004723/14/	June 11, 2026	2:2026cv00623
Arthuer L. Simms v. Imperial Woodpecker, LLC et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2025cv09198/988590/39/	June 9, 2026	2:2025cv09198
Le Cuong v. D. Marin et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/5:2026cv00805/1007516/11/	June 9, 2026	5:2026cv00805
Le Cuong v. D. Marin et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/5:2026cv00805/1007516/12/	June 9, 2026	5:2026cv00805
Bulmaro Rendon Ramos v. Todd Blanche et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/5:2026cv01749/1014689/14/	June 9, 2026	5:2026cv01749
C. Francis v. Robert Luna et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2024cv03740/925186/155/	June 8, 2026	2:2024cv03740
Farhad Mousavipour v. Select Portfolio Servicing, Inc. et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2025cv10798/994982/19/	June 8, 2026	2:2025cv10798
Nahoa Eagle Hardin Furness v. Frank Bisignano	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2025cv05845/976377/18/	June 8, 2026	2:2025cv05845
Nahoa Eagle Hardin Furness v. Frank Bisignano	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2025cv05845/976377/19/	June 8, 2026	2:2025cv05845
Pablo Felix v. Department of Homeland Security	https://law.justia.com/cases/federal/district-courts/california/cacdce/5:2025cv02453/987742/47/	June 8, 2026	5:2025cv02453
Solidus I, LLC v. Gaspard and Menon Construction, LLC. et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2025cv02764/964057/28/	June 5, 2026	2:2025cv02764
Kailash Jassal et al v. Warden of Desert View Annex et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/5:2026cv02893/1022123/14/	June 5, 2026	5:2026cv02893
Jose Luis Sanchez Hernandez v. Kristi Noem et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/5:2026cv01089/1009961/18/	June 4, 2026	5:2026cv01089
Marisa Angelic Papaleo v. Frank Bisignano	https://law.justia.com/cases/federal/district-courts/california/cacdce/5:2025cv02292/985487/17/	June 3, 2026	5:2025cv02292
Diana Bogdan v. CitiMortgage, Inc. et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2026cv00910/1004475/34/	June 3, 2026	2:2026cv00910
Marisa Angelic Papaleo v. Frank Bisignano	https://law.justia.com/cases/federal/district-courts/california/cacdce/5:2025cv02292/985487/18/	June 3, 2026	5:2025cv02292
Favian Garcia Vasquez v. Secretary of Homeland Security et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/5:2026cv01958/1016320/18/	June 2, 2026	5:2026cv01958
Kevin Stewart et al v. Robert Luna et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2023cv04641/887803/141/	June 2, 2026	2:2023cv04641
C.S.M. v. Ruby Hernandez et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/5:2026cv01144/1010460/29/	June 2, 2026	5:2026cv01144
Tan Minh Vo v. Warden, Adelanto ICE Detention Facility	https://law.justia.com/cases/federal/district-courts/california/cacdce/5:2026cv01467/1012843/26/	June 2, 2026	5:2026cv01467
Chrome Hearts LLC v. Ana Accessories Corporation et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2025cv10527/993893/31/	June 1, 2026	2:2025cv10527
Matthew D. Van Steenwyk et al v. Kedrin E. Van Steenwyk et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2024cv07401/939224/329/	June 1, 2026	2:2024cv07401
Severo Melendrez v. Frank Bisignano	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2025cv04320/970253/17/	June 1, 2026	2:2025cv04320
Lorems Emilia Galo Chavez v. Acting Warden of the Adelanto Detention Center et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/5:2026cv02315/1018477/11/	June 1, 2026	5:2026cv02315
Alexander Yaroshevsky v. Fereti Semaia et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/5:2026cv02503/1019640/22/	May 29, 2026	5:2026cv02503
Securities and Exchange Commission v. Anthony Joseph Cataldo	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2026cv04554/1017790/12/	May 29, 2026	2:2026cv04554
Jose Braulio Elias Mansilla v. Speedy Delivery, LLC et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/5:2026cv01137/1010447/19/	May 29, 2026	5:2026cv01137
Anthony Nuno v. Deborah Boschini et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2025cv06430/978774/59/	May 29, 2026	2:2025cv06430
Steven Chen v. Ford Motor Company et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/8:2025cv00833/967238/43/	May 28, 2026	8:2025cv00833
Josue Hernandez v. WM Wholesale, LLC et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/8:2025cv02228/989595/40/	May 28, 2026	8:2025cv02228
Razmik Barsegyan v. Ernest Santacruz, Jr. et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/5:2026cv02543/1020003/10/	May 28, 2026	5:2026cv02543
Raha Momeni et al v. Antony J. Blinken et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2024cv04879/929183/41/	May 27, 2026	2:2024cv04879
Dora Jean Teague v. Frank Bisignano	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2025cv09420/989535/22/	May 27, 2026	2:2025cv09420
Rayem Investments v. Quaker Transportation et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2025cv02264/961938/37/	May 27, 2026	2:2025cv02264
ResMac, Inc. v. OakTree Funding, Corp. et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2025cv10930/995482/40/	May 26, 2026	2:2025cv10930
Zadia Patricia Figueroa v. Warden et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/5:2026cv02386/1018851/23/	May 26, 2026	5:2026cv02386
Raul Rodriguez Flores v. D. Marin et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/5:2026cv01397/1012244/26/	May 26, 2026	5:2026cv01397
Julie A. Su v. Pink Cactus Corporation et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2025cv00192/953583/71/	May 26, 2026	2:2025cv00192
Kuy Nam Ko v. Markwayne Mullin et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/5:2026cv02020/1016628/17/	May 22, 2026	5:2026cv02020
Kuy Nam Ko v. Markwayne Mullin et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/5:2026cv02020/1016628/16/	May 22, 2026	5:2026cv02020
Jason Levent Zapata v. Frank Bisignano	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2025cv06084/977467/19/	May 21, 2026	2:2025cv06084
Jason Levent Zapata v. Frank Bisignano	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2025cv06084/977467/18/	May 21, 2026	2:2025cv06084
Hamid Bolooki v. Honda Motor Company Limited et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2022cv04252/855258/284/	May 20, 2026	2:2022cv04252
Pulte Home Company, LLC v. HDI Global Specialty SE et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2024cv02191/918660/307/	May 20, 2026	2:2024cv02191
Anna Manvelyan v. James Janecka et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/5:2026cv02407/1018976/14/	May 19, 2026	5:2026cv02407
Milagro Beatriz Eraso-Saravia v. Warden of the Adelanto Ice Processing Center	https://law.justia.com/cases/federal/district-courts/california/cacdce/5:2026cv01321/1012812/11/	May 19, 2026	5:2026cv01321
Maryuri de los Angeles Vallecillo Zepeda v. Mullin et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2026cv05012/1019382/11/	May 18, 2026	2:2026cv05012
Nancy Fabiola Lopez Garcia v Warden, Adelanto Detention Facility et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/5:2026cv00583/1005950/12/	May 18, 2026	5:2026cv00583
Xiaoming Yang v. Field Office Director Los Angeles et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/5:2026cv02334/1018576/9/	May 18, 2026	5:2026cv02334
Morgan Stanley Smith Barney LLC et al v. Henry Chang	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2025cv04359/970533/27/	May 18, 2026	2:2025cv04359
Gerson Morales Garcia v. Markwayne Mullin et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/5:2026cv01878/1015824/15/	May 18, 2026	5:2026cv01878
Artur Badalyan v. Pamela Bondi et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/5:2026cv01401/1012220/14/	May 15, 2026	5:2026cv01401
Lorena Niebla v. Mintz Levin Cohn Ferris Glovsky and Popeo, et al.,	https://law.justia.com/cases/federal/district-courts/california/cacdce/8:2026cv00870/1014833/28/	May 15, 2026	8:2026cv00870
Artur Badalyan v. Pamela Bondi et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/5:2026cv01401/1012220/15/	May 15, 2026	5:2026cv01401
Lexus Thomeka Ray v. City of Orange Police Dept et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2024cv08456/943595/29/	May 15, 2026	2:2024cv08456
A.K.A. Brands Holding Corp. et al v. Bahari et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2025cv00901/956205/265/	May 14, 2026	2:2025cv00901
Behzad Bolourchi v. Todd M. Lyons et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/5:2026cv00791/1007254/20/	May 14, 2026	5:2026cv00791
Iuliia Pavlova v. Markwayne Mullin et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/5:2026cv01756/1014740/10/	May 13, 2026	5:2026cv01756
Naton Aviv Vernier-Candiotti v. Department of Conservation	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2024cv09146/945769/84/	May 13, 2026	2:2024cv09146
Apple Valley Ridge Estates Homeowners Association v. Ashka Patel et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/5:2026cv00922/1008480/19/	May 12, 2026	5:2026cv00922
Thomas Lavia et al v. The Standard Fire Insurance Company et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2026cv03060/1011819/34/	May 12, 2026	2:2026cv03060
